ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1	"ENSG00000278932"	NA	chr21	+	9325070	9325823	9325070	9325223	9327239	9327298	1	0,8	5,5	3,1	8,14	699	99	0.0623547850431	0.2193291579012433	0.0,0.185	0.05,0.01	0.062
4	"ENSG00000205930"	"C21orf62-AS1"	chr21	+	32772149	32772320	32772149	32772308	32784796	32784919	4	0,4	0,2	2,1	0,0	111	99	1	1.0	NA,0.641	1.0,1.0	-0.359
33	"ENSG00000160255"	"ITGB2"	chr21	-	44892916	44895060	44894970	44895060	44891808	44891996	33	2239,2899	0,3	539,359	0,4	2153	99	0.0645548882692	0.22523843006533195	1.0,0.978	1.0,0.805	0.086
34	"ENSG00000160255"	"ITGB2"	chr21	-	44910599	44910785	44910724	44910785	44910283	44910372	34	273,312	2198,2706	50,39	646,569	224	99	0.000895865755144	0.007832973502814878	0.052,0.048	0.033,0.029	0.019
35	"ENSG00000160255"	"ITGB2"	chr21	-	44910599	44910785	44910724	44910785	44910283	44910415	35	172,212	4,8	29,25	0,0	224	99	0.00363205487292	0.024111080229429253	0.95,0.921	1.0,1.0	-0.065
36	"ENSG00000182670"	"TTC3"	chr21	+	37197881	37198025	37197881	37198016	37200231	37200324	36	254,360	148,185	231,293	67,59	108	99	1.20250119306e-07	3.470413303043789e-06	0.611,0.641	0.76,0.82	-0.164
37	"ENSG00000159131"	"GART"	chr21	-	33528514	33528604	33528518	33528604	33528166	33528335	37	6,12	375,420	13,17	472,673	103	99	0.563331153741	1.0	0.015,0.027	0.026,0.024	-0.004
38	"ENSG00000160294"	"MCM3AP"	chr21	-	46246306	46246886	46246627	46246886	46244806	46245197	38	995,1202	0,1	709,560	0,0	420	99	1	1.0	1.0,0.996	1.0,1.0	-0.002
40	"ENSG00000159267"	"HLCS"	chr21	-	36947332	36948287	36948165	36948287	36938831	36938994	40	50,50	3,6	37,51	2,5	932	99	0.790828931947	1.0	0.639,0.47	0.663,0.52	-0.037
41	"ENSG00000160285"	"LSS"	chr21	-	46222629	46222738	46222662	46222738	46221853	46221975	41	464,595	19,56	459,500	52,59	132	99	0.00544574144247	0.03297002343705933	0.948,0.889	0.869,0.864	0.052
45	"ENSG00000183570"	"PCBP3"	chr21	+	45913950	45914094	45913950	45914025	45917587	45917629	45	10,4	59,42	2,2	48,20	168	99	0.0555458705332	0.2017408479849129	0.091,0.053	0.024,0.056	0.032
46	"ENSG00000186866"	"POFUT2"	chr21	-	45283351	45283527	45283382	45283527	45282348	45282459	46	4,20	69,77	8,3	259,287	130	99	1.48832654201e-07	4.214253847029853e-06	0.042,0.165	0.023,0.008	0.088
47	"ENSG00000186866"	"POFUT2"	chr21	-	45283351	45283527	45283382	45283527	45282368	45282398	47	3,4	21,25	7,16	38,28	130	99	0.0579118117567	0.20835785652908906	0.098,0.109	0.123,0.303	-0.109
48	"ENSG00000186866"	"POFUT2"	chr21	-	45283351	45283527	45283382	45283527	45282803	45282938	48	3,7	5,5	4,3	2,1	130	99	0.185553119087	0.49531443467828135	0.314,0.516	0.604,0.696	-0.235
49	"ENSG00000160207"	"HSF2BP"	chr21	-	43633262	43633421	43633271	43633421	43630321	43630454	49	2,2	9,22	9,16	35,51	108	99	0.0453983774981	0.17279079391626417	0.169,0.077	0.191,0.223	-0.084
52	"ENSG00000160209"	"PDXK"	chr21	+	43732138	43732647	43732138	43732442	43734068	43734123	52	7,12	2,4	17,17	4,4	304	99	0.611647315834	1.0	0.533,0.494	0.581,0.581	-0.067
53	"ENSG00000184900"	"SUMO3"	chr21	-	44808996	44809118	44809046	44809118	44805616	44807040	53	13,9	938,1186	12,9	982,996	149	99	1	1.0	0.009,0.005	0.008,0.006	-0.0
54	"ENSG00000184900"	"SUMO3"	chr21	-	44813861	44814104	44813975	44814104	44809046	44809118	54	13,12	950,1154	9,6	971,898	213	99	1	1.0	0.006,0.005	0.004,0.003	0.002
55	"ENSG00000166979"	"EVA1C"	chr21	+	32501414	32501495	32501414	32501486	32503925	32504015	55	5,6	0,2	4,11	2,6	108	99	0.022636420977	0.10116997758301893	1.0,0.733	0.647,0.627	0.23
56	"ENSG00000166979"	"EVA1C"	chr21	+	32501414	32501538	32501414	32501486	32503925	32504015	56	1,1	0,2	1,0	2,6	151	99	0.832248049798	1.0	1.0,0.247	0.247,0.0	0.5
57	"ENSG00000166979"	"EVA1C"	chr21	+	32501414	32501538	32501414	32501495	32503925	32504015	57	1,0	5,5	1,0	4,11	142	99	1	1.0	0.122,0.0	0.148,0.0	-0.013
58	"ENSG00000157557"	"ETS2"	chr21	+	38819502	38819871	38819502	38819766	38821585	38821704	58	2,4	258,329	5,2	343,373	204	99	1	1.0	0.004,0.006	0.007,0.003	0.0
59	"ENSG00000241837"	"ATP5PO"	chr21	-	33906448	33907453	33907340	33907453	33903934	33904021	59	138,180	3132,3546	134,190	5178,5329	991	99	1	1.0	0.004,0.005	0.003,0.004	0.001
60	"ENSG00000241837"	"ATP5PO"	chr21	-	33915135	33915724	33915651	33915724	33914449	33914500	60	52,74	2,0	73,125	9,10	615	99	0.000329488431645	0.0034932212007584896	0.807,1.0	0.566,0.668	0.286
61	"ENSG00000159086"	"PAXBP1"	chr21	-	32755212	32755353	32755229	32755353	32751118	32751218	61	239,341	57,80	186,143	50,93	116	99	0.0281647119057	0.1196472066069033	0.782,0.784	0.76,0.568	0.119
65	"ENSG00000183765"	"CHEK2"	chr22	-	28724564	28724923	28724885	28724923	28719394	28719485	65	10,1	5,4	7,16	0,0	420	99	1.14577125565e-10	6.589974987574453e-09	0.32,0.056	1.0,1.0	-0.812
66	"ENSG00000183765"	"CHEK2"	chr22	-	28730419	28730548	28730455	28730548	28725242	28725367	66	36,39	4,5	35,33	4,10	135	99	0.264873085427	0.6333967689519155	0.868,0.851	0.865,0.708	0.073
67	"ENSG00000183765"	"CHEK2"	chr22	-	28730419	28730548	28730455	28730548	28727979	28728122	67	17,9	4,0	1,2	0,1	135	99	0.0632266491617	0.22133836953325503	0.757,1.0	1.0,0.595	0.081
68	"ENSG00000183765"	"CHEK2"	chr22	-	28741768	28741820	28741781	28741820	28734402	28734727	68	120,85	0,2	92,86	1,4	112	99	0.263507668889	0.6308759214181522	1.0,0.974	0.988,0.95	0.018
